device;data_consumption;data_time;data_period;tag;main_category_name;type;client_id
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;366;2025-11-22T13:42:38.000Z;11;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;578;2025-11-22T11:50:31.000Z;20;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;3138;2025-11-22T11:50:25.000Z;76;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;1232;2025-11-22T11:47:54.000Z;38;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;159;2025-11-22T11:45:57.000Z;10;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;2997;2025-11-22T11:44:15.000Z;89;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;404;2025-11-22T11:42:07.000Z;15;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;2219;2025-11-22T11:41:15.000Z;80;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;5689;2025-11-22T11:27:54.000Z;142;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;111;2025-11-22T11:25:09.000Z;19;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;1416;2025-11-22T11:24:42.000Z;36;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;3694;2025-11-22T11:04:55.000Z;95;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;1396;2025-11-22T10:59:34.000Z;82;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;2047;2025-11-22T10:54:46.000Z;48;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;1404;2025-11-22T10:40:15.000Z;32;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;121;2025-11-22T10:35:06.000Z;16;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;1484;2025-11-22T10:34:31.000Z;35;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;9060;2025-11-22T10:07:24.000Z;221;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;2343;2025-11-22T10:03:13.000Z;56;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;1426;2025-11-22T09:58:18.000Z;35;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;6479;2025-11-22T09:57:27.000Z;143;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;146;2025-11-22T09:56:48.000Z;16;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;1143;2025-11-22T09:54:43.000Z;24;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;113;2025-11-22T08:48:33.000Z;14;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;123;2025-11-22T08:38:05.000Z;9;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;3921;2025-11-22T08:28:24.000Z;103;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;3929;2025-11-22T08:15:51.000Z;97;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;472;2025-11-22T08:13:48.000Z;19;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;3573;2025-11-22T08:05:25.000Z;91;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;1507;2025-11-22T07:26:05.000Z;59;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;606;2025-11-22T07:24:41.000Z;18;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;1047;2025-11-22T07:24:13.000Z;33;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;3747;2025-11-22T07:16:31.000Z;112;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;659;2025-11-22T07:14:18.000Z;20;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;154;2025-11-21T20:42:38.000Z;17;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;108;2025-11-21T20:28:53.000Z;8;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;118;2025-11-21T20:09:29.000Z;17;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;3032;2025-11-21T19:21:54.000Z;73;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;116;2025-11-21T19:21:31.000Z;10;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;118;2025-11-21T18:51:13.000Z;13;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;2977;2025-11-21T18:18:57.000Z;72;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;406;2025-11-21T18:17:29.000Z;12;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;2431;2025-11-21T18:14:49.000Z;83;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;6507;2025-11-21T17:51:48.000Z;161;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;3712;2025-11-21T17:48:15.000Z;93;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;101;2025-11-21T17:45:47.000Z;2;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;358;2025-11-21T17:44:02.000Z;9;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;2166;2025-11-21T17:30:59.000Z;76;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;3719;2025-11-21T17:27:52.000Z;93;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;373;2025-11-21T17:23:51.000Z;9;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;3699;2025-11-21T17:21:43.000Z;93;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;659;2025-11-21T17:19:39.000Z;14;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;3732;2025-11-21T17:15:52.000Z;93;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;547;2025-11-21T17:13:49.000Z;12;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;5078;2025-11-21T17:11:22.000Z;125;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;280;2025-11-21T17:11:10.000Z;8;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;5143;2025-11-21T17:03:29.000Z;126;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;2856;2025-11-21T17:03:04.000Z;84;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;9550;2025-11-21T17:02:54.000Z;215;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;10419;2025-11-21T17:00:28.000Z;257;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;186;2025-11-21T16:58:28.000Z;4;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;3007;2025-11-21T16:57:33.000Z;95;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;732;2025-11-21T16:56:36.000Z;22;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;856;2025-11-21T16:55:31.000Z;17;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;1462;2025-11-21T16:51:48.000Z;48;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;757;2025-11-21T16:51:20.000Z;19;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;4108;2025-11-21T16:50:17.000Z;100;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;391;2025-11-21T16:49:36.000Z;9;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;4176;2025-11-21T16:48:23.000Z;98;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;194;2025-11-21T16:48:15.000Z;4;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;128;2025-11-21T16:46:46.000Z;8;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;1987;2025-11-21T16:46:31.000Z;50;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;5063;2025-11-21T16:45:36.000Z;125;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;4123;2025-11-21T16:45:27.000Z;129;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;578;2025-11-21T16:43:04.000Z;16;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;4376;2025-11-21T16:42:59.000Z;108;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;5027;2025-11-21T16:40:41.000Z;124;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;3075;2025-11-21T16:38:19.000Z;75;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;4366;2025-11-21T16:34:56.000Z;104;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;305;2025-11-21T16:33:07.000Z;9;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;214;2025-11-21T16:32:49.000Z;5;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;3181;2025-11-21T16:32:22.000Z;76;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;2474;2025-11-21T16:31:57.000Z;60;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;8853;2025-11-21T16:31:07.000Z;213;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;719;2025-11-21T16:30:16.000Z;18;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;305;2025-11-21T16:28:06.000Z;9;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;532;2025-11-21T16:27:14.000Z;11;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;6063;2025-11-21T16:26:55.000Z;145;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;3012;2025-11-21T16:23:20.000Z;74;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;330;2025-11-21T16:21:17.000Z;9;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;2161;2025-11-21T16:20:45.000Z;55;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;2199;2025-11-21T16:19:36.000Z;54;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;3449;2025-11-21T16:19:10.000Z;83;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;6027;2025-11-21T16:17:21.000Z;151;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;131;2025-11-21T16:16:54.000Z;3;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;290;2025-11-21T16:16:30.000Z;9;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;825;2025-11-21T16:14:08.000Z;18;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;214;2025-11-21T16:13:56.000Z;7;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;333;2025-11-21T16:13:06.000Z;9;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;250;2025-11-21T16:10:13.000Z;6;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;1141;2025-11-21T16:09:53.000Z;31;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;6780;2025-11-21T16:07:27.000Z;173;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;6535;2025-11-21T16:05:16.000Z;171;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;17025;2025-11-21T16:03:04.000Z;384;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;348;2025-11-21T15:56:02.000Z;9;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;2227;2025-11-21T15:54:03.000Z;57;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;5060;2025-11-21T15:53:26.000Z;125;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;308;2025-11-21T15:53:00.000Z;7;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;320;2025-11-21T15:51:04.000Z;7;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;7131;2025-11-21T15:50:59.000Z;167;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;3055;2025-11-21T15:48:30.000Z;76;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;992;2025-11-21T15:48:03.000Z;23;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;707;2025-11-21T15:47:05.000Z;20;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;3164;2025-11-21T15:31:12.000Z;77;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;2126;2025-11-21T15:30:41.000Z;53;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;106;2025-11-21T15:29:33.000Z;2;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;535;2025-11-21T15:29:28.000Z;16;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;292;2025-11-21T15:29:07.000Z;8;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;3722;2025-11-21T15:28:31.000Z;93;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;3300;2025-11-21T15:27:15.000Z;79;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;310;2025-11-21T15:26:27.000Z;6;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;239;2025-11-21T15:25:16.000Z;7;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;436;2025-11-21T15:24:59.000Z;19;cold;Offices;ws;28
37de7e10-3df4-11f0-bf6d-efc7d3c1cde5;1565;2025-11-21T15:24:26.000Z;38;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;1525;2025-11-21T15:24:12.000Z;37;cold;Offices;ws;28
37dc6880-3df4-11f0-bcc5-19418f7d4a51;3757;2025-11-21T15:24:03.000Z;94;cold;Offices;ws;28
37d5d9b0-3df4-11f0-8432-a53e8b9d6da9;121;2025-11-21T15:23:16.000Z;2;cold;Offices;ws;28
