device;data_consumption;data_time;data_period;tag;main_category_name;type;client_id
da76d010-9f81-11f0-ba67-d14dea579ee6;183;2025-10-06T11:08:13.000Z;2;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;519;2025-10-06T11:10:56.000Z;4;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;263;1970-01-01T01:00:00.000Z;2;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;237;2025-10-06T14:13:26.000Z;1;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;492;2025-10-06T15:30:03.000Z;10;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;11489;2025-11-06T13:49:20.000Z;56;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;14596;2025-11-06T13:51:22.000Z;109;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;4772;2025-11-06T13:57:16.000Z;41;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;15022;2025-11-06T16:22:32.000Z;128;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;4166;2025-11-06T16:23:16.000Z;34;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;11877;2025-11-06T16:24:36.000Z;58;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;651;2025-11-06T16:25:01.000Z;5;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;23595;2025-11-06T16:27:52.000Z;151;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;4600;2025-11-06T16:28:43.000Z;16;cold;Bloc sanitaire;ws;30
da76d010-9f81-11f0-ba67-d14dea579ee6;1599;2025-11-06T16:29:05.000Z;7;cold;Bloc sanitaire;ws;30
