data.consumption,data.time,data.period,device
393,2024-07-26T11:51:44.000Z,3,81653450-4a9c-11ef-a236-3bbfdd38639d
501,2024-07-26T11:54:11.000Z,4,81653450-4a9c-11ef-a236-3bbfdd38639d
322,2024-07-26T11:55:03.000Z,3,81653450-4a9c-11ef-a236-3bbfdd38639d
996,2024-07-26T11:56:40.000Z,9,8170c860-4a9c-11ef-a57d-1978fe7d9161
1495,2024-07-26T15:33:35.000Z,8,81653450-4a9c-11ef-a236-3bbfdd38639d
1530,2024-07-26T15:34:53.000Z,8,8164cb10-4a9c-11ef-b24b-055224f3eeba
1530,2024-07-26T15:34:57.000Z,8,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
727,2024-07-26T15:37:16.000Z,9,8161ea40-4a9c-11ef-82d3-2ffa8384e699
1362,2024-07-26T15:37:51.000Z,7,8170c860-4a9c-11ef-a57d-1978fe7d9161
919,2024-07-26T15:39:17.000Z,9,81689b30-4a9c-11ef-ad50-1d2daba32da0
480,2024-07-26T15:39:54.000Z,8,8165a900-4a9c-11ef-8393-69e55944ae1e
1012,2024-07-26T15:52:43.000Z,5,81653450-4a9c-11ef-a236-3bbfdd38639d
1218,2024-07-26T16:02:10.000Z,6,81653450-4a9c-11ef-a236-3bbfdd38639d
1546,2024-07-26T16:03:08.000Z,7,8164cb10-4a9c-11ef-b24b-055224f3eeba
839,2024-07-26T16:03:34.000Z,7,81643740-4a9c-11ef-a595-f9c8dc6ae4ad
892,2024-07-26T16:05:24.000Z,10,8161ea40-4a9c-11ef-82d3-2ffa8384e699
5619,2024-07-26T16:06:25.000Z,32,8161ea40-4a9c-11ef-82d3-2ffa8384e699
748,2024-07-26T16:07:19.000Z,9,8161ea40-4a9c-11ef-82d3-2ffa8384e699
1203,2024-07-26T16:08:12.000Z,6,8170c860-4a9c-11ef-a57d-1978fe7d9161
815,2024-07-26T16:09:56.000Z,6,81689b30-4a9c-11ef-ad50-1d2daba32da0
533,2024-07-26T16:10:53.000Z,7,8161ea40-4a9c-11ef-82d3-2ffa8384e699
528,2024-07-26T16:12:38.000Z,7,8161ea40-4a9c-11ef-82d3-2ffa8384e699
915,2024-07-26T16:13:29.000Z,6,81689b30-4a9c-11ef-ad50-1d2daba32da0
242,2024-07-26T16:17:36.000Z,5,8170c860-4a9c-11ef-a57d-1978fe7d9161
142,2024-07-26T16:17:45.000Z,5,81689b30-4a9c-11ef-ad50-1d2daba32da0
612,2024-07-26T16:25:32.000Z,8,8165a900-4a9c-11ef-8393-69e55944ae1e
1506,2024-07-26T16:26:29.000Z,8,8170c860-4a9c-11ef-a57d-1978fe7d9161
743,2024-07-26T16:28:55.000Z,9,8165a900-4a9c-11ef-8393-69e55944ae1e
963,2024-07-26T16:31:54.000Z,8,8165a900-4a9c-11ef-8393-69e55944ae1e
116,2024-07-26T16:32:42.000Z,2,8165a900-4a9c-11ef-8393-69e55944ae1e
472,2024-07-26T16:33:25.000Z,6,816932d0-4a9c-11ef-b3c5-85b5ce342d21
863,2024-07-26T16:33:30.000Z,7,81689b30-4a9c-11ef-ad50-1d2daba32da0
271,2024-07-26T16:37:02.000Z,8,8170c860-4a9c-11ef-a57d-1978fe7d9161
609,2024-07-26T16:42:05.000Z,8,8165a900-4a9c-11ef-8393-69e55944ae1e
401,2024-07-26T16:42:38.000Z,2,816932d0-4a9c-11ef-b3c5-85b5ce342d21
380,2024-07-26T16:42:43.000Z,2,81689b30-4a9c-11ef-ad50-1d2daba32da0
81,2024-07-26T16:42:54.000Z,7,8170c860-4a9c-11ef-a57d-1978fe7d9161
398,2024-07-26T16:48:33.000Z,5,8165a900-4a9c-11ef-8393-69e55944ae1e
